ObjectID,GlobalID,username,Tree Species,treecal,Native or Non-Native,typecal,Coniferous or Deciduous,fruitcal,Produced fruit?,Tree Health Answer,Tree Flag Answer,Deadwood Percentage,Height Calculation,Crown Spread Measurement,Please input your dbh calculation:,Comments,CreationDate,Creator,EditDate,Editor,x,y
24,cbf82635-a21e-44b0-b1cb-084dcd475a80,aherstek@flemingcollege.ca_Fleming,(Populus balsamifera),Native,Native,Deciduous,Deciduous,No edible fruit,No edible fruit,2,good,20,17,65,0.9549,,10/30/2023 9:40:52 PM,aherstek@flemingcollege.ca_Fleming,11/7/2023 4:48:28 PM,aherstek@flemingcollege.ca_Fleming,-114.091068800355,51.0276063483129
25,29590658-ae1a-442f-993d-c53f38542392,aherstek@flemingcollege.ca_Fleming,(Populus balsamifera),Native,Native,Deciduous,Deciduous,No edible fruit,No edible fruit,1,good,10,15,22,0.7003,cir=2.2,10/30/2023 9:43:22 PM,aherstek@flemingcollege.ca_Fleming,11/7/2023 4:48:41 PM,aherstek@flemingcollege.ca_Fleming,-114.091167054077,51.028854231445
26,4aec5eb6-1d06-4957-bd01-cff3337b987c,aherstek@flemingcollege.ca_Fleming,(Fraxinus americana),Native,Native,Deciduous,Deciduous,No edible fruit,No edible fruit,2,clr,20,14,15,0.5411,cir=1.7,10/30/2023 9:44:52 PM,aherstek@flemingcollege.ca_Fleming,11/7/2023 4:48:18 PM,aherstek@flemingcollege.ca_Fleming,-114.090201259992,51.0297603037212
27,5b51f618-6a2c-4751-a2e8-6859c238f2b0,aherstek@flemingcollege.ca_Fleming,(Pinus sylvestris),Naturalized,Naturalized,Conifer,Conifer,No edible fruit,No edible fruit,1,"good,clr",10,20,17,0.6684,cir=2.1... branches very close to house windows,10/30/2023 9:46:30 PM,aherstek@flemingcollege.ca_Fleming,11/7/2023 4:48:09 PM,aherstek@flemingcollege.ca_Fleming,-114.089087017774,51.0295292431407
28,dffb0311-4d1f-4c00-9bef-6254c53a8451,aherstek@flemingcollege.ca_Fleming,(Pseudotsuga menziesii var. glauca),Native,Native,Conifer,Conifer,No edible fruit,No edible fruit,4,"con,trim,concenr,remove",60,18,26,0.6047,cir=1.9,10/30/2023 9:50:43 PM,aherstek@flemingcollege.ca_Fleming,11/7/2023 4:47:57 PM,aherstek@flemingcollege.ca_Fleming,-114.088571442993,51.0284050584181
29,6ede97dd-0aac-4493-b090-bd1450a38156,aherstek@flemingcollege.ca_Fleming,(Fraxinus americana),Native,Native,Deciduous,Deciduous,No edible fruit,No edible fruit,3,trim,40,21,14,0.5092,cir=1.6,10/30/2023 9:52:22 PM,aherstek@flemingcollege.ca_Fleming,11/7/2023 4:47:40 PM,aherstek@flemingcollege.ca_Fleming,-114.088472812871,51.0282760195258
30,e57944fa-e25b-4558-ba36-a3fddc62d373,aherstek@flemingcollege.ca_Fleming,(Picea pungens),Introduced,Introduced,Conifer,Conifer,No edible fruit,No edible fruit,1,good,10,19,14,0.6685,cir=2.1,10/30/2023 9:53:48 PM,aherstek@flemingcollege.ca_Fleming,11/7/2023 4:47:31 PM,aherstek@flemingcollege.ca_Fleming,-114.08841747765,51.028174737988
31,61e7a105-52f5-4f63-9206-2e4230df9300,aherstek@flemingcollege.ca_Fleming,(Picea pungens),Introduced,Introduced,Conifer,Conifer,No edible fruit,No edible fruit,2,trim,10,18,15,0.5411,cir=1.7,10/30/2023 10:02:52 PM,aherstek@flemingcollege.ca_Fleming,11/7/2023 4:47:20 PM,aherstek@flemingcollege.ca_Fleming,0,0
32,f2c33603-25ea-441e-9aa5-abb74a20d812,aherstek@flemingcollege.ca_Fleming,(Fagus sylvatica),Introduced,Introduced,Deciduous,Deciduous,No edible fruit,No edible fruit,1,good,0,4,3,0.1909,cir=0.6,10/30/2023 10:03:47 PM,aherstek@flemingcollege.ca_Fleming,11/7/2023 4:47:12 PM,aherstek@flemingcollege.ca_Fleming,-114.091650684949,51.0285296524541
33,aba6ddcc-419c-4334-8dd4-f8b0649ec096,aherstek@flemingcollege.ca_Fleming,(Fagus sylvatica),Introduced,Introduced,Deciduous,Deciduous,No edible fruit,No edible fruit,1,trim,10,16,20,0.4456,cir=1.4,10/30/2023 10:06:17 PM,aherstek@flemingcollege.ca_Fleming,11/7/2023 4:46:59 PM,aherstek@flemingcollege.ca_Fleming,-114.091943793472,51.0288418266664
34,57a08edf-3987-41d3-8c42-85494cbd3991,ljaimesa@flemingcollege.ca_Fleming,(Abies pinsapo),Introduced,Introduced,Conifer,Conifer,No edible fruit,No edible fruit,1,good,50,10,35,4.7746,,10/31/2023 10:18:02 PM,ljaimesa@flemingcollege.ca_Fleming,11/7/2023 4:46:47 PM,aherstek@flemingcollege.ca_Fleming,-79.2192516063461,43.1796762452497
35,a2558a7e-5c8d-4b7b-8f01-26e7526ef74f,ljaimesa@flemingcollege.ca_Fleming,(Abies magnifica),Introduced,Introduced,Conifer,Conifer,No edible fruit,No edible fruit,2,good,30,20,30,3.1831,,10/31/2023 10:20:40 PM,ljaimesa@flemingcollege.ca_Fleming,11/7/2023 4:46:33 PM,aherstek@flemingcollege.ca_Fleming,-79.2192516063461,43.1796762452497
36,4eee984e-51e2-448b-8a34-cc0bc6d62d22,ljaimesa@flemingcollege.ca_Fleming,(Acer negundo),Native,Native,Deciduous,Deciduous,No edible fruit,No edible fruit,2,con,80,3,20,0.9549,,10/31/2023 10:24:06 PM,ljaimesa@flemingcollege.ca_Fleming,11/7/2023 4:46:20 PM,aherstek@flemingcollege.ca_Fleming,-79.2203275504103,43.1804312904392
37,253efc37-610b-4c79-8d53-9d0d68e928fd,ljaimesa@flemingcollege.ca_Fleming,(Acer glabrum var. douglasii),Native,Native,Deciduous,Deciduous,No edible fruit,No edible fruit,2,good,,1,1,0.3183,,10/31/2023 10:26:25 PM,ljaimesa@flemingcollege.ca_Fleming,11/7/2023 4:46:09 PM,aherstek@flemingcollege.ca_Fleming,-79.2187988918116,43.1806139657899
38,a734d374-1019-4b2d-8dfc-e9794b1e593d,ljaimesa@flemingcollege.ca_Fleming,(Acer pensylvanicum),Native,Native,Deciduous,Deciduous,No edible fruit,No edible fruit,1,good,,7,3,0.3183,,10/31/2023 10:31:14 PM,ljaimesa@flemingcollege.ca_Fleming,11/7/2023 4:45:32 PM,aherstek@flemingcollege.ca_Fleming,-79.2187988918116,43.1806139657899
39,c182e2bb-a5bc-4de0-8b12-73ce4543796b,ljaimesa@flemingcollege.ca_Fleming,(Acer palmatum),Introduced,Introduced,Deciduous,Deciduous,No edible fruit,No edible fruit,1,good,10,4,3,0.3183,,10/31/2023 10:35:25 PM,ljaimesa@flemingcollege.ca_Fleming,11/7/2023 4:45:30 PM,aherstek@flemingcollege.ca_Fleming,-79.2186658733029,43.1817206879439
40,e3304a1b-49ed-4a9e-8e4f-b73bca3d23fb,ljaimesa@flemingcollege.ca_Fleming,(Alnus incana ssp. tenuifolia),Native,Native,Deciduous,Deciduous,No edible fruit,No edible fruit,1,good,,6,10,0.31831,,10/31/2023 10:39:16 PM,ljaimesa@flemingcollege.ca_Fleming,11/7/2023 4:45:28 PM,aherstek@flemingcollege.ca_Fleming,-79.2175188761132,43.1813569138245
41,016c72fb-84b7-4436-8bbe-938f8b45dfa6,ljaimesa@flemingcollege.ca_Fleming,(Acer rubrum),Native,Native,Deciduous,Deciduous,No edible fruit,No edible fruit,2,good,10,3,5,0.9549,,10/31/2023 10:44:35 PM,ljaimesa@flemingcollege.ca_Fleming,11/7/2023 4:44:54 PM,aherstek@flemingcollege.ca_Fleming,-79.2163222933724,43.1803350544236
42,9201e4f5-6197-41cc-8178-a5f10803fd9c,ljaimesa@flemingcollege.ca_Fleming,(Alnus glutinosa),Naturalized,Naturalized,Deciduous,Deciduous,No edible fruit,No edible fruit,2,clr,10,5,15,0.3183,,10/31/2023 10:52:05 PM,ljaimesa@flemingcollege.ca_Fleming,11/7/2023 4:44:40 PM,aherstek@flemingcollege.ca_Fleming,-79.2166572353638,43.1783290142546
43,a339ca31-c054-44b7-8321-f6995ec7a765,ljaimesa@flemingcollege.ca_Fleming,(Acer rubrum),Native,Native,Deciduous,Deciduous,No edible fruit,No edible fruit,1,good,10,8,9,0.1273,,11/1/2023 1:22:40 PM,ljaimesa@flemingcollege.ca_Fleming,11/7/2023 4:44:29 PM,aherstek@flemingcollege.ca_Fleming,-79.2217476646501,43.178570475828
44,529418ea-bc2a-42b5-8583-7ee6b8fec594,ljaimesa@flemingcollege.ca_Fleming,(Abies lasiocarpa),Native,Native,Conifer,Conifer,No edible fruit,No edible fruit,1,good,10,15,5,1.5915,,11/1/2023 1:26:22 PM,ljaimesa@flemingcollege.ca_Fleming,11/7/2023 4:44:18 PM,aherstek@flemingcollege.ca_Fleming,-79.2214196209354,43.1787282513965
45,17d20679-37da-482a-8215-af64156f33b9,ljaimesa@flemingcollege.ca_Fleming,(Amelanchier alnifolia),Native,Native,Deciduous,Deciduous,Edible Tree,Edible Tree,1,good,10,16,10,0.1591,,11/1/2023 1:29:02 PM,ljaimesa@flemingcollege.ca_Fleming,11/7/2023 4:44:09 PM,aherstek@flemingcollege.ca_Fleming,-79.2214196209354,43.1787282513965
46,e77d6397-c225-4e5d-84de-9ee0e0b2d2c2,ljaimesa@flemingcollege.ca_Fleming,(Acer pseudoplatanus),Introduced,Introduced,Deciduous,Deciduous,No edible fruit,No edible fruit,1,"damage,concenr",50,3,0,3.183,,11/1/2023 1:32:43 PM,ljaimesa@flemingcollege.ca_Fleming,11/7/2023 4:43:53 PM,aherstek@flemingcollege.ca_Fleming,-79.2233994154934,43.1773346636327
47,a9851e20-2748-4f8f-8d14-1441eeba4612,ljaimesa@flemingcollege.ca_Fleming,(Acer platanoides),Naturalized,Naturalized,Deciduous,Deciduous,No edible fruit,No edible fruit,3,damage,40,3,1,0.3183,,11/1/2023 1:35:04 PM,ljaimesa@flemingcollege.ca_Fleming,11/7/2023 4:43:35 PM,aherstek@flemingcollege.ca_Fleming,-79.2246259720527,43.174996823699
48,e3c67670-09a7-4987-8cc4-bc047ff54972,ljaimesa@flemingcollege.ca_Fleming,(Alnus incana ssp. tenuifolia),Native,Native,Deciduous,Deciduous,No edible fruit,No edible fruit,1,good,20,20,10,0.3183,,11/1/2023 1:38:18 PM,ljaimesa@flemingcollege.ca_Fleming,11/7/2023 4:43:31 PM,aherstek@flemingcollege.ca_Fleming,-79.2246259720527,43.174996823699
49,468a65cd-a25e-4f94-83d9-d40d9e6a4c7d,ljaimesa@flemingcollege.ca_Fleming,(Malus baccata),Introduced,Introduced,Deciduous,Deciduous,Edible Tree,Edible Tree,1,good,10,2,3,0.0954,,11/1/2023 2:57:56 PM,ljaimesa@flemingcollege.ca_Fleming,11/7/2023 4:43:22 PM,aherstek@flemingcollege.ca_Fleming,-79.2237034463196,43.1755052673962
50,ea7aa428-2160-4189-8a5e-185e9d505959,ljaimesa@flemingcollege.ca_Fleming,(Carya ovata),Native,Native,Deciduous,Deciduous,Edible Tree,Edible Tree,1,good,10,13,5,0.1591,,11/1/2023 3:00:15 PM,ljaimesa@flemingcollege.ca_Fleming,11/7/2023 4:43:05 PM,aherstek@flemingcollege.ca_Fleming,-79.2181433482945,43.1758406975163
51,82159ef6-88ec-4c1a-830c-95c951a2cf10,ljaimesa@flemingcollege.ca_Fleming,(Acer pensylvanicum),Native,Native,Deciduous,Deciduous,No edible fruit,No edible fruit,2,"con,concenr",40,3,5,0.6366,,11/1/2023 3:04:16 PM,ljaimesa@flemingcollege.ca_Fleming,11/7/2023 4:58:34 PM,aherstek@flemingcollege.ca_Fleming,0,0
52,2946b3f3-c94f-4e4a-89d9-6b107743bf9a,ljaimesa@flemingcollege.ca_Fleming,(Acer rubrum),Native,Native,Deciduous,Deciduous,No edible fruit,No edible fruit,2,"con,trim",20,2,1,0.0637,,11/1/2023 3:10:18 PM,ljaimesa@flemingcollege.ca_Fleming,11/7/2023 4:42:41 PM,aherstek@flemingcollege.ca_Fleming,-79.2185612813556,43.1772556838596
53,d371c900-e217-49b1-8027-191464e8bd11,ljaimesa@flemingcollege.ca_Fleming,(Alnus incana ssp. tenuifolia),Native,Native,Deciduous,Deciduous,No edible fruit,No edible fruit,1,good,,2,1,0.0637,,11/1/2023 3:12:55 PM,ljaimesa@flemingcollege.ca_Fleming,11/7/2023 4:42:45 PM,aherstek@flemingcollege.ca_Fleming,-79.2185612813556,43.1772556838596
54,543ecbac-1587-4cdb-894e-1e2852900a16,ljaimesa@flemingcollege.ca_Fleming,(Alnus viridis ssp. crispa),Native,Native,Deciduous,Deciduous,No edible fruit,No edible fruit,1,good,20,2,5,0.1592,,11/1/2023 3:14:27 PM,ljaimesa@flemingcollege.ca_Fleming,11/7/2023 4:42:25 PM,aherstek@flemingcollege.ca_Fleming,-79.2213305262506,43.1762169698898
55,2f36c68a-4962-481f-8a49-71aad5809d82,lmarkari@flemingcollege.ca_Fleming,(Quercus palustris),Native,Native,Deciduous,Deciduous,Edible Tree,Edible Tree,2,good,0,17.3,8,0.1305,,11/1/2023 4:57:18 PM,lmarkari@flemingcollege.ca_Fleming,11/7/2023 4:31:52 PM,aherstek@flemingcollege.ca_Fleming,-73.6624150420212,45.6065819356115
56,c99a302c-4a5d-4d77-9633-c9639f511ea9,lmarkari@flemingcollege.ca_Fleming,(Gleditsia triacanthos),Native,Native,Deciduous,Deciduous,Edible Tree,Edible Tree,1,good,0,22.5,9,0.1687,,11/1/2023 5:07:54 PM,lmarkari@flemingcollege.ca_Fleming,11/7/2023 4:31:39 PM,aherstek@flemingcollege.ca_Fleming,-73.6623128409067,45.6064241801314
57,407c3a82-7673-4af2-95ae-187ff77a9820,lmarkari@flemingcollege.ca_Fleming,(Picea mariana),Native,Native,Conifer,Conifer,No edible fruit,No edible fruit,1,good,,21,8,0.2165,,11/1/2023 5:13:31 PM,lmarkari@flemingcollege.ca_Fleming,11/7/2023 4:31:27 PM,aherstek@flemingcollege.ca_Fleming,-73.6622118203087,45.6062376746987
58,2c873ead-a18b-40cc-acf4-36c2502805e0,lmarkari@flemingcollege.ca_Fleming,(Carya cordiformis),Native,Native,Deciduous,Deciduous,Edible Tree,Edible Tree,2,good,0,30,9,0.4392,,11/1/2023 5:25:07 PM,lmarkari@flemingcollege.ca_Fleming,11/7/2023 4:29:58 PM,aherstek@flemingcollege.ca_Fleming,-73.6619588610205,45.6063161561855
59,66978ac7-7144-4247-81aa-0959aa6af8d2,lmarkari@flemingcollege.ca_Fleming,(Aesculus hippocastanum),Naturalized,Naturalized,Deciduous,Deciduous,No edible fruit,No edible fruit,1,good,0,16.5,5,0.2864,,11/1/2023 5:30:36 PM,lmarkari@flemingcollege.ca_Fleming,11/7/2023 4:41:58 PM,aherstek@flemingcollege.ca_Fleming,-73.6626316116092,45.6069068175321
60,ee0f43dd-602b-4b15-a7c7-5fb46c2eab38,lmarkari@flemingcollege.ca_Fleming,(Salix alba var. vitellina cv. Pendula),Introduced,Introduced,Deciduous,Deciduous,No edible fruit,No edible fruit,1,good,0,37,18,0.4552,,11/1/2023 5:43:08 PM,lmarkari@flemingcollege.ca_Fleming,11/7/2023 4:29:42 PM,aherstek@flemingcollege.ca_Fleming,-73.6618155905077,45.6070107015742
61,0af4bd68-48d9-452d-ae83-75420efef62f,tjonker@flemingcollege.ca_Fleming,(Pinus sylvestris),Naturalized,Naturalized,Conifer,Conifer,No edible fruit,No edible fruit,1,good,0,4,2,0.1273,,11/1/2023 7:17:52 PM,tjonker@flemingcollege.ca_Fleming,11/7/2023 4:41:34 PM,aherstek@flemingcollege.ca_Fleming,0,0
62,aa8d0e23-8603-4505-be1f-2aeed165b7d1,tjonker@flemingcollege.ca_Fleming,(Pinus sylvestris),Naturalized,Naturalized,Conifer,Conifer,No edible fruit,No edible fruit,1,"trim,good",20,5,4,0.1273,,11/1/2023 7:17:53 PM,tjonker@flemingcollege.ca_Fleming,11/7/2023 4:41:30 PM,aherstek@flemingcollege.ca_Fleming,-80.31098415,43.89118254
63,9e5ceb0a-0867-4ce3-8075-e4d288e64ffa,tjonker@flemingcollege.ca_Fleming,(Prunus virginiana var. virginiana),Native,Native,Deciduous,Deciduous,Edible Tree,Edible Tree,1,good,0,2,1,0.0318,Young tree. C=.1m,11/1/2023 7:17:54 PM,tjonker@flemingcollege.ca_Fleming,11/7/2023 4:41:20 PM,aherstek@flemingcollege.ca_Fleming,-80.3109607,43.89107646
64,49f1ad24-3ebb-4b2c-8f67-898a80aa1bae,tjonker@flemingcollege.ca_Fleming,(Salix exigua),Native,Native,Deciduous,Deciduous,No edible fruit,No edible fruit,2,"trim,good",10,1.5,1,0.0318,C=.1m,11/1/2023 7:17:55 PM,tjonker@flemingcollege.ca_Fleming,11/7/2023 4:41:16 PM,aherstek@flemingcollege.ca_Fleming,-80.31072052,43.89058602
65,ca3e9749-f6c3-4d17-89f0-b80e4cd88fbe,tjonker@flemingcollege.ca_Fleming,(Acer saccharinum),Native,Native,Deciduous,Deciduous,No edible fruit,No edible fruit,1,good,0,4,4,0.1114,C=.35m,11/1/2023 7:17:56 PM,tjonker@flemingcollege.ca_Fleming,11/7/2023 4:41:03 PM,aherstek@flemingcollege.ca_Fleming,-80.31355706,43.89178711
66,faa7f835-9bf9-4b9e-bad1-34322daea33b,tjonker@flemingcollege.ca_Fleming,(Picea sitchensis),Native,Native,Conifer,Conifer,No edible fruit,No edible fruit,1,good,0,2,15,0.0636,C=.2m,11/1/2023 7:17:57 PM,tjonker@flemingcollege.ca_Fleming,11/7/2023 4:40:50 PM,aherstek@flemingcollege.ca_Fleming,-80.3140157,43.89127916
67,0ced07f6-cff6-4b32-b4fe-de74c31e4eb7,tjonker@flemingcollege.ca_Fleming,(Prunus serotina),Native,Native,Deciduous,Deciduous,Edible Tree,Edible Tree,1,good,0,3,3,0.0955,C=.3m,11/1/2023 7:17:58 PM,tjonker@flemingcollege.ca_Fleming,11/7/2023 4:40:40 PM,aherstek@flemingcollege.ca_Fleming,-80.31396003,43.89126343
68,8c4623d4-82a9-494b-bd34-d1cb984cd5bf,tjonker@flemingcollege.ca_Fleming,(Acer saccharinum),Native,Native,Deciduous,Deciduous,No edible fruit,No edible fruit,1,good,0,8,7,0.191,C=.6m,11/1/2023 7:17:59 PM,tjonker@flemingcollege.ca_Fleming,11/7/2023 4:40:28 PM,aherstek@flemingcollege.ca_Fleming,-80.31396757,43.89121911
69,f6a69bd9-b4c1-4166-b90c-d33c37eca4eb,tjonker@flemingcollege.ca_Fleming,(Acer saccharinum),Native,Native,Deciduous,Deciduous,No edible fruit,No edible fruit,2,"trim,good",0,8,5,0.1273,C=.4m,11/1/2023 7:18:00 PM,tjonker@flemingcollege.ca_Fleming,11/7/2023 4:40:16 PM,aherstek@flemingcollege.ca_Fleming,-80.31365588,43.890889
70,439bf011-4d0f-4c4c-b185-50c8b8db56e5,tjonker@flemingcollege.ca_Fleming,(Acer saccharinum),Native,Native,Deciduous,Deciduous,No edible fruit,No edible fruit,1,good,0,9,4,0.1591,C=.5m,11/1/2023 7:18:01 PM,tjonker@flemingcollege.ca_Fleming,11/7/2023 4:40:04 PM,aherstek@flemingcollege.ca_Fleming,-80.31336056,43.89086268
71,8046213e-e213-4d55-9cec-c42cc44286b4,tjonker@flemingcollege.ca_Fleming,(Acer saccharinum),Native,Native,Deciduous,Deciduous,No edible fruit,No edible fruit,1,good,0,9,4,0.1591,C=.5m,11/1/2023 7:18:02 PM,tjonker@flemingcollege.ca_Fleming,11/7/2023 4:40:00 PM,aherstek@flemingcollege.ca_Fleming,-80.31325443,43.89079539
72,3974d109-8dc0-40cb-ae6e-9d65b5729fa5,tjonker@flemingcollege.ca_Fleming,(Picea abies),Introduced,Introduced,Conifer,Conifer,No edible fruit,No edible fruit,1,"good,con",0,1.5,1,0.0318,"C=.1m, young tree",11/1/2023 7:18:03 PM,tjonker@flemingcollege.ca_Fleming,11/7/2023 4:39:48 PM,aherstek@flemingcollege.ca_Fleming,-80.31329316,43.89082575
73,1f3c910f-46eb-4bdf-bc8d-32ae1a6a1152,tjonker@flemingcollege.ca_Fleming,(Acer saccharinum),Native,Native,Deciduous,Deciduous,No edible fruit,No edible fruit,1,"con,good",0,3,2,0.0318,"C=.1, young tree, area may need to be cleared",11/1/2023 7:18:04 PM,tjonker@flemingcollege.ca_Fleming,11/7/2023 4:39:44 PM,aherstek@flemingcollege.ca_Fleming,-80.3130452,43.89049682
74,16197730-b904-4b52-ab5c-3233f6d30a72,tjonker@flemingcollege.ca_Fleming,(Syringa vulgaris),Naturalized,Naturalized,Deciduous,Deciduous,No edible fruit,No edible fruit,3,"con,damage",30,4,1,0.0318,"C=.1, growing along conifer, will probably be overtaken",11/1/2023 7:18:05 PM,tjonker@flemingcollege.ca_Fleming,11/7/2023 4:39:39 PM,aherstek@flemingcollege.ca_Fleming,-80.31251377,43.89058345
75,f3131529-ef56-481f-bbf0-0e0bb1093cbc,tjonker@flemingcollege.ca_Fleming,(Salix exigua),Native,Native,Deciduous,Deciduous,No edible fruit,No edible fruit,1,good,0,2,1,0.0159,"C=.05, spread probably more like .2m",11/1/2023 7:18:06 PM,tjonker@flemingcollege.ca_Fleming,11/7/2023 4:39:28 PM,aherstek@flemingcollege.ca_Fleming,-80.30509029,43.89019021
76,eb5fb912-ce63-41e4-9df0-7ac9267a5012,tjonker@flemingcollege.ca_Fleming,(Sorbus aucuparia),Naturalized,Naturalized,Deciduous,Deciduous,No edible fruit,No edible fruit,1,"con,good",0,1,1,0.0159,"C=.05, likely to be overgrown",11/1/2023 7:18:07 PM,tjonker@flemingcollege.ca_Fleming,11/7/2023 4:39:24 PM,aherstek@flemingcollege.ca_Fleming,-80.31498941,43.89209071
77,3e5d8d70-5028-4dcd-82d7-c1fc2e38133a,tjonker@flemingcollege.ca_Fleming,(Sorbus aucuparia),Naturalized,Naturalized,Deciduous,Deciduous,No edible fruit,No edible fruit,2,"con,good",0,8,2,0.0636,"C=.2m, growing around another tree trunk, curious to see in a few years",11/1/2023 7:18:08 PM,tjonker@flemingcollege.ca_Fleming,11/7/2023 4:39:07 PM,aherstek@flemingcollege.ca_Fleming,-80.31501245,43.89247348
78,48a2a343-18e1-4e8e-8db1-5b2ab48d4801,tjonker@flemingcollege.ca_Fleming,(Acer platanoides),Naturalized,Naturalized,Deciduous,Deciduous,No edible fruit,No edible fruit,2,"clr,trim,good",20,20,13,0.6366,C=2m,11/1/2023 7:18:09 PM,tjonker@flemingcollege.ca_Fleming,11/7/2023 4:38:51 PM,aherstek@flemingcollege.ca_Fleming,-80.31247787,43.89323811
79,b92d995d-2bed-47db-9e75-51b3692ac2b7,tjonker@flemingcollege.ca_Fleming,(Picea glauca),Native,Native,Conifer,Conifer,No edible fruit,No edible fruit,1,good,0,5,4,0.1273,C=.4m,11/1/2023 7:18:10 PM,tjonker@flemingcollege.ca_Fleming,11/7/2023 4:38:34 PM,aherstek@flemingcollege.ca_Fleming,-80.31103357,43.89184248
80,fc639ac5-298a-4ae5-9b44-75239c6b32d5,tjonker@flemingcollege.ca_Fleming,(Juniperus horizontalis),Native,Native,Conifer,Conifer,No edible fruit,No edible fruit,1,good,0,4,1,0.0637,C=.2m,11/1/2023 7:18:11 PM,tjonker@flemingcollege.ca_Fleming,11/7/2023 4:38:22 PM,aherstek@flemingcollege.ca_Fleming,-80.31099064,43.89177387
