ObjectID,GlobalID,Collectername,Input Date and Time:,Latitude,Longitude,Elevation,accuracy,What is the name of Tree?,treetype,nativetype,Estimation of Deadwood Canopy:,Enter the height of Tree:,Measure Crown Spread of the Tree:,Rank the Health of the Tree:,Input Circumference:,Calculated Diameter at Breast Height (DBH):,Select relevant flag according the condtion of Tree:,Comment About Tree:,CreationDate,Creator
24,3ab350d7-72e0-4f32-b0ef-8951e96de37c,yuahma@flemingcollege.ca_Fleming,11/4/2023 10:25:00 PM,44.36645,-78.75832,232.06,3.79,White spruce,Coniferous,Native,25,8.70,5.00,No Concern,1.24,0.39,Beautiful_example_of_species,Healthy tree,11/4/2023 10:28:37 PM,yuahma@flemingcollege.ca_Fleming
25,72111a0d-8268-4f16-b982-0d0cfa9778e3,yuahma@flemingcollege.ca_Fleming,11/4/2023 10:31:00 PM,44.36805,-78.75892,234.87,3.79,Eastern redcedar,Coniferous,Native,35,3.80,4.00,No Concern,0.52,0.17,Beautiful_example_of_species,Healthy tree,11/4/2023 10:33:15 PM,yuahma@flemingcollege.ca_Fleming
26,1d356e4a-5649-492d-8f25-7536ced1c4c8,yuahma@flemingcollege.ca_Fleming,11/5/2023 5:51:00 PM,44.36739,-78.76528,230.10,4.81,Trembling aspen,Deciduous,Native,80,8.47,4.20,No Concern,0.61,0.19,Physical_damage_evident,There is an evidence of physical damage,11/5/2023 5:58:40 PM,yuahma@flemingcollege.ca_Fleming
27,d492e636-d45d-4829-b3c2-1a6cbae4fc3d,yuahma@flemingcollege.ca_Fleming,11/5/2023 6:02:00 PM,44.36738,-78.76589,236.03,3.79,Eastern hemlock,Coniferous,Native,35,7.13,3.53,No Concern,0.6,0.19,Beautiful_example_of_species,Healthy tree,11/5/2023 6:07:28 PM,yuahma@flemingcollege.ca_Fleming
28,fbb5504f-1388-4819-8b04-64936118f220,yuahma@flemingcollege.ca_Fleming,11/5/2023 6:11:00 PM,44.36740,-78.76588,237.53,3.96,Douglas maple,Deciduous,Native,95,30.51,10.00,Concern,1.81,0.58,"Condition_to_be_monitored,Clear_branches_near_Structure(s),Physical_damage_evident",This tree is 75 years old( according to property owner),11/5/2023 6:14:16 PM,yuahma@flemingcollege.ca_Fleming
29,20bcabd7-5fc0-4be5-aff7-f0e01a79d077,yuahma@flemingcollege.ca_Fleming,11/5/2023 6:18:00 PM,44.36724,-78.76620,235.67,9.94,Austrian pine,Coniferous,Introduced,30,13.20,5.20,Concern,0.68,0.22,"Trimming_dead/broken_branches,Physical_damage_evident",Overall condition is in good shape,11/5/2023 6:21:24 PM,yuahma@flemingcollege.ca_Fleming
30,fd486e3f-2061-4ca0-9785-be0d707f4588,yuahma@flemingcollege.ca_Fleming,11/5/2023 6:36:00 PM,44.36883,-78.75863,240.64,3.79,Norway maple,Deciduous,Naturalized,45,5.54,6.30,Concern,1.34,0.43,"Trimming_dead/broken_branches,Evidence_of_infestation",Overall health of the tree is in good shape,11/5/2023 6:40:10 PM,yuahma@flemingcollege.ca_Fleming
31,89e2ae51-145a-453c-ac32-ded5dccb5edd,yuahma@flemingcollege.ca_Fleming,11/5/2023 6:40:00 PM,44.36885,-78.75778,234.40,3.79,Norway maple,Deciduous,Naturalized,20,7.43,7.60,No Concern,1.44,0.46,"Clear_branches_near_Structure(s),Beautiful_example_of_species",Healthy tree,11/5/2023 6:42:38 PM,yuahma@flemingcollege.ca_Fleming
32,fbc2a312-dec6-49a3-959a-d2d96bf5cde4,yuahma@flemingcollege.ca_Fleming,11/5/2023 6:42:00 PM,44.36874,-78.75758,233.14,3.79,Golden Weeping willow,Deciduous,Introduced,30,8.35,6.70,No Concern,1.46,0.46,Beautiful_example_of_species,Healthy tree,11/5/2023 6:44:53 PM,yuahma@flemingcollege.ca_Fleming
33,c974c684-6a68-4677-97c2-4b47f1921260,yuahma@flemingcollege.ca_Fleming,11/5/2023 6:45:00 PM,44.36862,-78.75739,232.93,3.79,Black maple,Deciduous,Native,75,7.52,10.40,No Concern,1.73,0.55,"Clear_branches_near_Structure(s),Trimming_dead/broken_branches",The leaves of this tree starting to change its colour.,11/5/2023 6:49:41 PM,yuahma@flemingcollege.ca_Fleming
34,cf0bb17d-dd84-4854-8662-9d7481af35ad,jpokar@flemingcollege.ca_Fleming,11/6/2023 9:27:00 PM,44.34335,-78.74528,261.37,4.60,Bur oak,Deciduous,Native,85,8.75,9.76,No Concern,170,54.14,"Clear_branches_near_Structure(s),Condition_to_be_monitored",It is deciduous tree due to fall it shed the leaves ,11/6/2023 9:32:14 PM,jpokar@flemingcollege.ca_Fleming
35,37ca4456-c6e3-487d-b90a-cc81b7cc3e57,jpokar@flemingcollege.ca_Fleming,11/6/2023 9:32:00 PM,44.34326,-78.74532,271.00,4.74,Northern pin oak,Deciduous,Native,15,8.93,4.13,Concern,83,26.43,"Trimming_dead/broken_branches,Beautiful_example_of_species",Some dead branches ,11/6/2023 9:35:11 PM,jpokar@flemingcollege.ca_Fleming
36,66fa3f1c-03ed-4449-bb83-75eb7fb27c78,jpokar@flemingcollege.ca_Fleming,11/6/2023 9:36:00 PM,44.34342,-78.74489,268.04,4.74,White spruce,Coniferous,Native,55,9.28,6.08,Moderate concern,145,46.18,"Trimming_dead/broken_branches,Physical_damage_evident,Evidence_of_infestation",Need to be monitored ,11/6/2023 9:39:51 PM,jpokar@flemingcollege.ca_Fleming
37,8b2c208b-a0e4-4f2c-b968-9d7862d715be,jpokar@flemingcollege.ca_Fleming,11/6/2023 9:39:00 PM,44.34345,-78.74473,268.09,4.76,Tulip-tree,Deciduous,Native,5,7.05,7.71,No Concern,134,42.68,Beautiful_example_of_species,Very nice tree and good example it’s look beautiful with fall color leaves ,11/6/2023 9:43:58 PM,jpokar@flemingcollege.ca_Fleming
38,3f724de4-40bb-4e7a-8620-370a3d49bd3b,prirath@flemingcollege.ca_Fleming,11/6/2023 9:06:00 PM,44.34350,-78.74462,230.68,3.79,Black ash,Deciduous,Native,35,10.04,5.52,No Concern,127,40.45,"Trimming_dead/broken_branches,Evidence_of_infestation,Condition_to_be_monitored",Needs to be monitored due to broken twigs and branches,11/6/2023 9:46:14 PM,prirath@flemingcollege.ca_Fleming
39,d765f821-98bc-4bf9-833c-254b44511297,ashisi@flemingcollege.ca_Fleming,11/6/2023 3:54:00 PM,44.34620,-78.73486,235.48,3.79,Norway maple,Deciduous,Naturalized,100,7.50,9.20,Moderate concern,1.45,0.46,Condition_to_be_monitored,"Due to chnage in weather 
Tree has shed its leaves ",11/7/2023 3:38:18 PM,ashisi@flemingcollege.ca_Fleming
40,cd7e7dd8-e413-4720-a37d-118b74fc4d94,ashisi@flemingcollege.ca_Fleming,11/6/2023 4:01:00 PM,44.34627,-78.73517,234.33,3.79,Norway maple,Deciduous,Naturalized,95,5.00,,Moderate concern,0.25,0.08,Condition_to_be_monitored,Leaves fallen,11/7/2023 3:38:18 PM,ashisi@flemingcollege.ca_Fleming
41,5581e55d-720d-44f8-8061-c93293a458fa,ashisi@flemingcollege.ca_Fleming,11/6/2023 4:11:00 PM,44.34601,-78.73590,227.15,3.79,Trembling aspen,Deciduous,Native,70,10.30,5.52,Moderate concern,1.8,0.57,"Condition_to_be_monitored,Clear_branches_near_Structure(s),Trimming_dead/broken_branches",,11/7/2023 3:38:19 PM,ashisi@flemingcollege.ca_Fleming
42,a8011622-6ec1-4bef-82fc-ca174137cf32,ashisi@flemingcollege.ca_Fleming,11/6/2023 4:20:00 PM,44.34551,-78.73794,230.52,3.79,Scots pine,Coniferous,Naturalized,35,12.00,4.00,No Concern,1.38,0.44,"Condition_to_be_monitored,Clear_branches_near_Structure(s),Trimming_dead/broken_branches",,11/7/2023 3:38:20 PM,ashisi@flemingcollege.ca_Fleming
43,334ee202-7780-41bc-b99b-f5b3712be30a,ashisi@flemingcollege.ca_Fleming,11/6/2023 4:52:00 PM,44.34035,-78.74197,239.50,3.79,Norway spruce,Coniferous,Introduced,15,10.00,4.00,No Concern,0.85,0.27,Clear_branches_near_Structure(s),,11/7/2023 3:38:20 PM,ashisi@flemingcollege.ca_Fleming
44,9d4afabd-1c91-4fee-8d35-794801111603,ashisi@flemingcollege.ca_Fleming,11/6/2023 4:54:00 PM,44.34012,-78.74228,236.50,3.79,Eastern white pine,Coniferous,Native,5,7.00,3.80,No Concern,0.65,0.21,Beautiful_example_of_species,,11/7/2023 3:38:21 PM,ashisi@flemingcollege.ca_Fleming
45,00f61208-e1a0-43fa-9a8e-8366fd611d2e,ashisi@flemingcollege.ca_Fleming,11/6/2023 4:57:00 PM,44.34043,-78.74241,232.47,3.79,Norway spruce,Coniferous,Introduced,10,9.58,,No Concern,0.56,0.18,"Evidence_of_infestation,Removal_recommended,Clear_branches_near_Structure(s)",,11/7/2023 3:38:21 PM,ashisi@flemingcollege.ca_Fleming
46,7d6eb8ae-7692-428b-b45b-c2bfd34c8bba,ashisi@flemingcollege.ca_Fleming,11/6/2023 4:58:00 PM,44.34063,-78.74263,231.24,3.79,Northern hackberry,Deciduous,Native,25,9.20,5.80,Moderate concern,0.8,0.25,"Trimming_dead/broken_branches,Condition_to_be_monitored",,11/7/2023 3:38:22 PM,ashisi@flemingcollege.ca_Fleming
47,a4f1f166-cea8-465a-b1b1-08c4c268c051,ashisi@flemingcollege.ca_Fleming,11/6/2023 5:03:00 PM,44.34043,-78.74269,234.91,3.79,Balsam fir,Coniferous,Native,5,3.50,1.78,No Concern,0.2,0.06,Beautiful_example_of_species,,11/7/2023 3:38:23 PM,ashisi@flemingcollege.ca_Fleming
48,0ca0ee91-1861-4e7b-ad8c-522762ff4258,ashisi@flemingcollege.ca_Fleming,11/6/2023 9:27:00 PM,44.34511,-78.73039,225.99,3.79,Lawson-cypress,Coniferous,Introduced,20,8.00,3.80,Concern,0.5,0.16,Condition_to_be_monitored,,11/7/2023 3:38:24 PM,ashisi@flemingcollege.ca_Fleming
49,83dc0ada-3a0e-4abf-868e-2ed215fe0e48,ashisi@flemingcollege.ca_Fleming,11/6/2023 9:30:00 PM,44.34498,-78.73062,220.57,3.79,White spruce,Coniferous,Native,10,16.00,6.00,No Concern,1.26,0.40,Condition_to_be_monitored,,11/7/2023 3:38:25 PM,ashisi@flemingcollege.ca_Fleming
50,f6d1dd1c-0ed2-421f-8ceb-9371541f71a4,ashisi@flemingcollege.ca_Fleming,11/6/2023 9:35:00 PM,44.34507,-78.73079,226.35,3.79,Sugar maple,Deciduous,Native,75,8.00,5.00,Moderate concern,1.1,0.35,Condition_to_be_monitored,,11/7/2023 3:38:25 PM,ashisi@flemingcollege.ca_Fleming
51,88ac9722-4f49-4498-a2ca-200d745b711a,ashisi@flemingcollege.ca_Fleming,11/7/2023 2:27:00 PM,44.35865,-78.73477,219.69,4.23,White spruce,Coniferous,Native,10,14.00,6.00,No Concern,1.4,0.45,Beautiful_example_of_species,,11/7/2023 3:38:26 PM,ashisi@flemingcollege.ca_Fleming
52,ce85d783-6288-43fb-81c6-e952bfc3a128,ashisi@flemingcollege.ca_Fleming,11/7/2023 2:31:00 PM,44.35793,-78.73443,222.17,3.90,Black maple,Deciduous,Native,85,12.80,9.00,Moderate concern,1.95,0.62,Condition_to_be_monitored,,11/7/2023 3:38:27 PM,ashisi@flemingcollege.ca_Fleming
53,23ff57c1-f61a-4e2c-a84c-314a366a5a36,ashisi@flemingcollege.ca_Fleming,11/7/2023 2:33:00 PM,44.35787,-78.73403,222.35,3.79,Colorado spruce,Coniferous,Introduced,15,17.00,5.81,No Concern,1.31,0.42,Beautiful_example_of_species,,11/7/2023 3:38:28 PM,ashisi@flemingcollege.ca_Fleming
54,cd0d0f2e-ae82-4f91-9eec-8c715e182b74,ashisi@flemingcollege.ca_Fleming,11/7/2023 2:35:00 PM,44.35806,-78.73412,220.58,3.79,Black maple,Deciduous,Native,70,14.00,7.20,Moderate concern,2.13,0.68,Condition_to_be_monitored,,11/7/2023 3:38:29 PM,ashisi@flemingcollege.ca_Fleming
55,adb03527-1b0f-4ac4-b115-aeebfae257d2,ashisi@flemingcollege.ca_Fleming,11/7/2023 2:38:00 PM,44.35706,-78.73470,223.43,3.79,Norway maple,Deciduous,Naturalized,85,6.00,4.00,Moderate concern,0.68,0.22,Condition_to_be_monitored,,11/7/2023 3:38:29 PM,ashisi@flemingcollege.ca_Fleming
56,77eee2ec-9991-4280-a809-76a8952a8ae5,ashisi@flemingcollege.ca_Fleming,11/7/2023 2:43:00 PM,44.35706,-78.73500,219.20,3.79,Norway maple,Deciduous,Naturalized,70,8.50,6.78,Moderate concern,1.23,0.39,Condition_to_be_monitored,,11/7/2023 3:38:31 PM,ashisi@flemingcollege.ca_Fleming
57,32bbb449-6aea-43de-8151-62c9ab36d364,prirath@flemingcollege.ca_Fleming,11/7/2023 7:18:00 PM,44.33985,-78.73947,241.30,3.79,European beech,Deciduous,Introduced,25,4.80,1.90,Moderate concern,15,4.78,"Clear_branches_near_Structure(s),Evidence_of_infestation,Physical_damage_evident",Infestation on leaves.,11/7/2023 7:21:21 PM,prirath@flemingcollege.ca_Fleming
58,a8375883-2519-4cb2-90a8-fa82d74f8339,prirath@flemingcollege.ca_Fleming,11/7/2023 7:23:00 PM,44.33952,-78.73919,240.25,3.79,Pin oak,Deciduous,Native,50,11.00,4.00,Moderate concern,20,6.37,"Trimming_dead/broken_branches,Physical_damage_evident,Evidence_of_infestation,Condition_to_be_monitored",Infestation on bark of tree with  broken twigs,11/7/2023 7:26:26 PM,prirath@flemingcollege.ca_Fleming
59,60000757-4a02-439a-b14d-470f7ee6cf5d,ashisi@flemingcollege.ca_Fleming,11/7/2023 7:23:00 PM,44.33960,-78.73953,243.28,3.79,Eastern white pine,Coniferous,Native,30,12.50,3.00,Moderate concern,0.25,0.08,Condition_to_be_monitored,Broken twigs ,11/7/2023 7:29:57 PM,ashisi@flemingcollege.ca_Fleming
60,da0a6e9b-cdbd-4b4c-aa03-45c175e03430,ashisi@flemingcollege.ca_Fleming,11/7/2023 7:26:00 PM,44.33939,-78.73944,233.73,3.79,Red oak,Deciduous,Native,40,18.00,8.00,Moderate concern,1.3,0.41,"Condition_to_be_monitored,Trimming_dead/broken_branches",Tree is  fine condition but have some dead branches,11/7/2023 7:29:57 PM,ashisi@flemingcollege.ca_Fleming
61,76b65f67-678f-444f-a958-ecbb58fb32b0,prirath@flemingcollege.ca_Fleming,11/7/2023 7:27:00 PM,44.33946,-78.73934,242.54,3.79,Eastern white pine,Coniferous,Native,5,7.00,2.10,No Concern,9,2.87,Beautiful_example_of_species,Beautiful example of tree species.,11/7/2023 7:29:59 PM,prirath@flemingcollege.ca_Fleming
62,f9807330-ffeb-454b-85d6-4f85efa712b3,prirath@flemingcollege.ca_Fleming,11/7/2023 7:31:00 PM,44.33920,-78.73895,240.81,3.79,White spruce,Coniferous,Native,,14.00,5.00,No Concern,20,6.37,"Clear_branches_near_Structure(s),Trimming_dead/broken_branches",Broken twigs and branches.,11/7/2023 7:33:45 PM,prirath@flemingcollege.ca_Fleming
63,892b4362-6a43-49c2-bde9-9a4ce023dd8e,prirath@flemingcollege.ca_Fleming,11/7/2023 7:34:00 PM,44.33870,-78.73867,237.66,3.79,Eastern white pine,Coniferous,Native,25,12.00,7.00,No Concern,30,9.55,"Physical_damage_evident,Trimming_dead/broken_branches,Clear_branches_near_Structure(s),Beautiful_example_of_species",Broken twigs and branches,11/7/2023 7:37:19 PM,prirath@flemingcollege.ca_Fleming
64,7aa9c740-392b-4a13-b00c-915a9483c553,prirath@flemingcollege.ca_Fleming,11/7/2023 7:40:00 PM,44.33851,-78.73767,233.43,3.79,Red oak,Deciduous,Native,60,5.00,1.00,Concern,10,3.18,"Trimming_dead/broken_branches,Physical_damage_evident",Few leaves are on tree due to fall,11/7/2023 7:41:49 PM,prirath@flemingcollege.ca_Fleming
65,489b5820-3fd6-4174-ac4f-f47917572576,prirath@flemingcollege.ca_Fleming,11/7/2023 7:42:00 PM,44.33840,-78.73770,230.63,3.79,Tamarack,Coniferous,Native,10,5.00,1.50,No Concern,15,4.78,Beautiful_example_of_species,Leaves are of yellow color,11/7/2023 7:43:25 PM,prirath@flemingcollege.ca_Fleming
66,0d014731-79fc-486d-94af-77f908433a5d,prirath@flemingcollege.ca_Fleming,11/7/2023 7:44:00 PM,44.33832,-78.73785,224.54,3.79,White birch,Deciduous,Native,100,6.00,2.00,Concern,10,3.18,"Clear_branches_near_Structure(s),Physical_damage_evident",No leaves on tree,11/7/2023 7:45:44 PM,prirath@flemingcollege.ca_Fleming
67,034e558e-3408-4f74-b1ac-33c16f4c4234,prirath@flemingcollege.ca_Fleming,11/7/2023 7:46:00 PM,44.33837,-78.73792,229.32,3.79,Chinquapin oak,Deciduous,Native,70,4.50,1.50,Concern,7,2.23,"Condition_to_be_monitored,Physical_damage_evident,Trimming_dead/broken_branches",Largely deadwood canopy,11/7/2023 7:48:59 PM,prirath@flemingcollege.ca_Fleming
68,f1a82f48-8711-4c3f-956b-b2ec2ab0ef85,prirath@flemingcollege.ca_Fleming,11/7/2023 7:49:00 PM,44.33828,-78.73787,229.03,3.79,Ironwood,Deciduous,Native,75,4.00,1.00,Concern,7,2.23,"Condition_to_be_monitored,Clear_branches_near_Structure(s),Trimming_dead/broken_branches",Brown leaves on tree,11/7/2023 7:50:30 PM,prirath@flemingcollege.ca_Fleming
69,5367d1cb-fe00-4d8e-ad2e-f76de001cad8,prirath@flemingcollege.ca_Fleming,11/7/2023 7:51:00 PM,44.33805,-78.73792,225.45,3.79,Balsam fir,Coniferous,Native,15,5.00,2.00,No Concern,15,4.78,Beautiful_example_of_species,Few broken twigs and branches,11/7/2023 7:53:11 PM,prirath@flemingcollege.ca_Fleming
70,fde39703-fe7a-459a-9ffa-fd724df53c38,prirath@flemingcollege.ca_Fleming,11/7/2023 7:54:00 PM,44.33797,-78.73805,229.60,3.79,Eastern hemlock,Coniferous,Native,20,5.00,1.50,Concern,10,3.18,"Clear_branches_near_Structure(s),Trimming_dead/broken_branches,Physical_damage_evident",Broken twigs  and branches,11/7/2023 7:55:13 PM,prirath@flemingcollege.ca_Fleming
71,549715d6-2744-4096-b777-da19dbcd6560,prirath@flemingcollege.ca_Fleming,11/7/2023 7:56:00 PM,44.33783,-78.73815,230.45,3.79,Eastern redcedar,Coniferous,Native,10,4.50,2.00,No Concern,7,2.23,"Clear_branches_near_Structure(s),Trimming_dead/broken_branches,Beautiful_example_of_species",Beautiful species of tree,11/7/2023 8:42:41 PM,prirath@flemingcollege.ca_Fleming
72,b26c0611-a03b-42f7-84b4-05bd268dbb84,prirath@flemingcollege.ca_Fleming,11/7/2023 7:59:00 PM,44.33781,-78.73814,231.22,3.79,White spruce,Coniferous,Native,5,6.00,2.00,No Concern,10,3.18,Beautiful_example_of_species,Light to dark green shade of leaves.,11/7/2023 8:42:42 PM,prirath@flemingcollege.ca_Fleming
73,4991a2fe-14c5-4a45-9b6a-7a2aafcea0d4,prirath@flemingcollege.ca_Fleming,11/7/2023 8:02:00 PM,44.33792,-78.73737,228.21,3.79,Ohio buckeye,Deciduous,Native,100,6.00,1.50,High priority concern,10,3.18,"Removal_recommended,Condition_to_be_monitored,Clear_branches_near_Structure(s),Trimming_dead/broken_branches,Evidence_of_infestation,Physical_damage_evident,Concerned-To_be_reviewed_by_certified_arborist",No leaves on tree,11/7/2023 8:42:42 PM,prirath@flemingcollege.ca_Fleming
74,66a54d9d-60a9-449e-91f7-3e1a3387761e,prirath@flemingcollege.ca_Fleming,11/7/2023 8:05:00 PM,44.34010,-78.73862,228.26,3.79,Northern pin oak,Deciduous,Native,,8.00,2.20,Concern,20,6.37,"Condition_to_be_monitored,Clear_branches_near_Structure(s),Trimming_dead/broken_branches,Evidence_of_infestation,Physical_damage_evident",Infestation on leaves and trunk.,11/7/2023 8:42:43 PM,prirath@flemingcollege.ca_Fleming
75,b66edf64-b68c-4f48-ba92-2aac7dd64e37,prirath@flemingcollege.ca_Fleming,11/7/2023 8:28:00 PM,44.34109,-78.73976,232.72,3.79,Whitebark pine,Coniferous,Native,25,9.60,5.00,No Concern,2.5,0.80,"Clear_branches_near_Structure(s),Trimming_dead/broken_branches,Concerned-To_be_reviewed_by_certified_arborist",Near fire hydrant,11/7/2023 8:42:44 PM,prirath@flemingcollege.ca_Fleming
76,f7fd6612-1cc3-4abd-8c7e-d28ceffc165d,prirath@flemingcollege.ca_Fleming,11/7/2023 8:32:00 PM,44.34198,-78.73984,234.66,3.79,White spruce,Coniferous,Native,15,12.00,6.00,Concern,2.9,0.92,"Clear_branches_near_Structure(s),Trimming_dead/broken_branches,Physical_damage_evident",Near frost campus entrance.,11/7/2023 8:42:45 PM,prirath@flemingcollege.ca_Fleming
77,7a5d4579-a78f-4e6a-916c-1df6a6c0f1af,prirath@flemingcollege.ca_Fleming,11/7/2023 8:37:00 PM,44.34145,-78.74081,233.85,3.79,Tamarack,Coniferous,Native,20,9.00,2.50,No Concern,1.9,0.61,"Clear_branches_near_Structure(s),Trimming_dead/broken_branches,Evidence_of_infestation,Physical_damage_evident",Opposite bus stop.,11/7/2023 8:42:45 PM,prirath@flemingcollege.ca_Fleming
78,9dbc0823-6a54-4c5f-830f-e8c5cb2680cd,jpokar@flemingcollege.ca_Fleming,11/7/2023 7:16:00 PM,44.34014,-78.73981,268.60,4.74,Eastern redcedar,Coniferous,Native,45,8.41,7.40,Moderate concern,85,27.07,"Trimming_dead/broken_branches,Physical_damage_evident",Needs to monitor ,11/7/2023 9:02:07 PM,jpokar@flemingcollege.ca_Fleming
79,585df072-c863-4bab-a986-6bdd0531bd07,jpokar@flemingcollege.ca_Fleming,11/7/2023 7:22:00 PM,44.33950,-78.73949,272.09,4.74,Oregon ash,Deciduous,Native,10,5.26,3.72,No Concern,10,3.18,Beautiful_example_of_species,"Good condition, leaves are falling due to fall",11/7/2023 9:02:08 PM,jpokar@flemingcollege.ca_Fleming
80,795eafd8-4225-440c-93ae-fedc86887bca,jpokar@flemingcollege.ca_Fleming,11/7/2023 7:26:00 PM,44.33943,-78.73933,270.29,4.74,Balsam fir,Coniferous,Native,5,3.08,2.53,No Concern,15,4.78,Beautiful_example_of_species,Good in conditions ,11/7/2023 9:02:09 PM,jpokar@flemingcollege.ca_Fleming
81,141481df-6b11-4631-ba40-d99ab1f999ef,jpokar@flemingcollege.ca_Fleming,11/7/2023 7:29:00 PM,44.33935,-78.73917,270.13,4.77,White ash,Deciduous,Native,5,11.00,9.45,Concern,180,57.32,"Clear_branches_near_Structure(s),Beautiful_example_of_species",Near tree moss vegetation ,11/7/2023 9:02:10 PM,jpokar@flemingcollege.ca_Fleming
82,54b12509-4d8b-43f1-9ab4-97842b31dc64,jpokar@flemingcollege.ca_Fleming,11/7/2023 7:33:00 PM,44.33856,-78.73909,266.08,4.74,Red maple,Deciduous,Native,5,5.68,3.45,No Concern,20,6.37,Beautiful_example_of_species,Study trail 126 numbers tree,11/7/2023 9:02:12 PM,jpokar@flemingcollege.ca_Fleming
83,50da5ad0-137c-4ba4-86c2-d992a9694919,jpokar@flemingcollege.ca_Fleming,11/7/2023 7:40:00 PM,44.33850,-78.73896,266.30,4.75,White birch,Deciduous,Native,0,6.54,4.56,No Concern,45,14.33,Beautiful_example_of_species,Near coniferous tree and trunk is littel bend ,11/7/2023 9:02:12 PM,jpokar@flemingcollege.ca_Fleming
84,c14598c3-9912-4bb2-a004-5061a0f5fd8f,jpokar@flemingcollege.ca_Fleming,11/7/2023 7:45:00 PM,44.33828,-78.73886,266.91,4.74,Douglas maple,Deciduous,Native,0,4.50,2.30,No Concern,18,5.73,Beautiful_example_of_species,New tree but it’s look good ,11/7/2023 9:02:13 PM,jpokar@flemingcollege.ca_Fleming
