ObjectID,GlobalID,Elevation,horizontalAccuracy,verticalAccuracy,Select the name of the tree.,class,orign,Please select the health condition of the tree.,Enter estimated percentage of dead wood.,Enter height of the tree.,Enter width of the Canopy.,Measured Circumferance,Diameter,Are there number of items from these possible flags?,Write comment if you have any.,Data Collection Date,CreationDate,Creator,EditDate,Editor,x,y
21,8c59b04c-d330-49f9-b3c2-22db46c4cd94,266.452,6.7423,3,witch-hazel,,,1,0,1.35,1.2,0.36,0.11,"removal-recommended,beautiful-example-of-species",,11/4/2023 4:00:00 PM,11/4/2023 8:14:43 PM,shwagl@flemingcollege.ca_Fleming,11/4/2023 8:14:43 PM,shwagl@flemingcollege.ca_Fleming,-78.7378099468339,44.338721148711
22,7384dcb4-8b6d-4ec4-b48d-86bdc61a786e,265.731,4.8521,3.2064,pin-oak,Deciduous,Native,1,0,3,1.4,0.75,0.24,beautiful-example-of-species,,11/4/2023 4:00:00 PM,11/4/2023 8:16:23 PM,shwagl@flemingcollege.ca_Fleming,11/4/2023 8:16:23 PM,shwagl@flemingcollege.ca_Fleming,-78.7377757964701,44.3385257463704
23,9e09dc80-2a16-40c1-9bc7-7c23774896d5,265.6,1.3,9.9,northern-pin-oak,Deciduous,Native,1,0,4,3,0.2,0.06,beautiful-example-of-species,,11/4/2023 4:00:00 PM,11/4/2023 8:16:31 PM,sipariya@flemingcollege.ca_Fleming,11/4/2023 8:16:31 PM,sipariya@flemingcollege.ca_Fleming,-78.7377266666667,44.3385533333333
24,0d07395c-4be2-4cce-9e6c-1ffa77811f1e,266.4,1.3,9.9,red-oak,Deciduous,Native,1,0,6.5,2.5,0.23,0.07,beautiful-example-of-species,,11/4/2023 4:00:00 PM,11/4/2023 8:18:29 PM,sipariya@flemingcollege.ca_Fleming,11/4/2023 8:18:29 PM,sipariya@flemingcollege.ca_Fleming,-78.7379183333333,44.3384716666667
25,aabb4647-e8f9-4837-95ea-45b3795e6def,266.109,4.9333,3.0801,chinquapin-oak,Deciduous,Native,2,15,3.5,3,0.16,0.05,,,11/4/2023 4:00:00 PM,11/4/2023 8:20:17 PM,shwagl@flemingcollege.ca_Fleming,11/4/2023 8:20:17 PM,shwagl@flemingcollege.ca_Fleming,-78.737888990234,44.3383652187595
26,bc8ce23c-a18e-4f0c-8379-b106ed437523,266.5568,5.0686,2.852,eastern-hemlock,Conifer,Native,1,0,2,2,0.18,0.06,beautiful-example-of-species,,11/4/2023 4:00:00 PM,11/4/2023 8:22:56 PM,shwagl@flemingcollege.ca_Fleming,11/4/2023 8:22:56 PM,shwagl@flemingcollege.ca_Fleming,-78.738028419009,44.3379855703069
27,bd88c44f-353a-4610-998c-51ca2b8edb30,270.9,1.4,10.5,eastern-cottonwood,Deciduous,Native,2,0,15,4.5,1.35,0.43,beautiful-example-of-species,,11/4/2023 4:00:00 PM,11/4/2023 8:24:43 PM,sipariya@flemingcollege.ca_Fleming,11/4/2023 8:24:43 PM,sipariya@flemingcollege.ca_Fleming,-78.7380166666667,44.3379316666667
28,a0caa133-d279-4b00-b749-6006457b1105,266.6109,4.9202,3.101,balsam-fir,Conifer,Native,2,0,3.5,3,0.35,0.11,beautiful-example-of-species,,11/4/2023 4:00:00 PM,11/4/2023 8:25:59 PM,shwagl@flemingcollege.ca_Fleming,11/4/2023 8:25:59 PM,shwagl@flemingcollege.ca_Fleming,-78.7379673500825,44.3379434267857
29,2d1f628b-d3b1-4c40-81f7-d111eee0f0a0,265.3,1.3,9.9,tamarack,,,1,0,3,1,0.15,0.05,beautiful-example-of-species,,11/4/2023 4:00:00 PM,11/4/2023 8:26:36 PM,sipariya@flemingcollege.ca_Fleming,11/4/2023 8:26:36 PM,sipariya@flemingcollege.ca_Fleming,-78.73807,44.3378916666667
30,56e9166a-7942-4da1-9989-f72b0a87a0e2,266.13,4.9441,3.0627,eastern-redcedar,Conifer,Native,1,0,3.5,3.5,0.45,0.14,beautiful-example-of-species,,11/4/2023 4:00:00 PM,11/4/2023 8:28:17 PM,shwagl@flemingcollege.ca_Fleming,11/4/2023 8:28:17 PM,shwagl@flemingcollege.ca_Fleming,-78.738088783097,44.3377983416766
31,af34b9e9-8515-4521-8d30-dab4b0374860,266.3486,4.9136,3.1114,eastern-white-cedar,Conifer,Native,2,0,13.5,4,1.75,0.56,beautiful-example-of-species,,11/4/2023 4:00:00 PM,11/4/2023 8:30:19 PM,shwagl@flemingcollege.ca_Fleming,11/4/2023 8:30:19 PM,shwagl@flemingcollege.ca_Fleming,-78.7380968253626,44.3377959189747
32,d138f134-5725-48b2-9352-59ba8ce9bb59,262.9,1.4,9.1,scots-pine,Conifer,Naturalized,1,0,7.5,3.7,1.25,0.4,beautiful-example-of-species,,11/4/2023 4:00:00 PM,11/4/2023 8:31:30 PM,sipariya@flemingcollege.ca_Fleming,11/4/2023 8:31:30 PM,sipariya@flemingcollege.ca_Fleming,-78.7383033333333,44.3377566666667
33,93f18f2f-e921-4bd0-aea7-c4daa122700b,265.9948,4.8696,3.1798,sweetgum,,,1,0,2,1.5,0.6,0.19,,,11/4/2023 4:00:00 PM,11/4/2023 8:32:15 PM,shwagl@flemingcollege.ca_Fleming,11/4/2023 8:32:15 PM,shwagl@flemingcollege.ca_Fleming,-78.7377940493544,44.3378416501387
34,44a29586-6243-48f2-8ce5-da1b3905272a,262.8,1.6,8.3,silver-maple,Deciduous,Native,3,15,11,5,1.3,0.41,trimming-dead/broken-branches,,11/4/2023 4:00:00 PM,11/4/2023 8:33:30 PM,sipariya@flemingcollege.ca_Fleming,11/4/2023 8:33:30 PM,sipariya@flemingcollege.ca_Fleming,-78.7382433333333,44.3377183333333
35,e38f60b2-f16e-4e73-9a42-482a8dc6f949,265.1581,5.1552,2.6922,ohio-buckeye,Deciduous,Native,1,0,3.5,1.5,0.62,0.2,,,11/4/2023 4:00:00 PM,11/4/2023 8:33:45 PM,shwagl@flemingcollege.ca_Fleming,11/4/2023 8:33:45 PM,shwagl@flemingcollege.ca_Fleming,-78.7375430074189,44.3378837883033
36,329a4620-ba1e-4d18-911b-7282c8489181,264,1.4,9.3,black-spruce,Conifer,Native,1,0,2.35,0.75,0.32,0.1,beautiful-example-of-species,,11/4/2023 4:00:00 PM,11/4/2023 8:35:11 PM,sipariya@flemingcollege.ca_Fleming,11/4/2023 8:35:11 PM,sipariya@flemingcollege.ca_Fleming,-78.7384083333333,44.3377283333333
37,b2cbfeeb-5b43-4af8-bf52-139b4fb489f3,266.7812,5.077,2.8369,serbian-spruce,Conifer,Introduced,1,0,1.8,0.75,0.34,0.11,beautiful-example-of-species,,11/4/2023 4:00:00 PM,11/4/2023 8:35:40 PM,shwagl@flemingcollege.ca_Fleming,11/4/2023 8:35:40 PM,shwagl@flemingcollege.ca_Fleming,-78.7378571806059,44.3377865662022
38,f8c25809-f9df-4dba-84d4-5747255a80b3,263.8,1.6,8.5,douglas-fir,Conifer,Native,2,5,15,8,1.5,0.48,"trimming-dead/broken-branches,beautiful-example-of-species",,11/4/2023 4:00:00 PM,11/4/2023 8:39:44 PM,sipariya@flemingcollege.ca_Fleming,11/4/2023 8:39:44 PM,sipariya@flemingcollege.ca_Fleming,-78.738685,44.337755
39,9f0b4a73-03e0-4d58-abed-9ad2a5920cfb,267.1699,4.1079,6.0072,norway-spruce,Conifer,Introduced,1,0,15.5,8,1.45,0.46,beautiful-example-of-species,,11/4/2023 4:00:00 PM,11/4/2023 8:41:32 PM,shwagl@flemingcollege.ca_Fleming,11/4/2023 8:41:32 PM,shwagl@flemingcollege.ca_Fleming,-78.738587284534,44.3376688845871
40,8c3360fa-bc1c-4f48-8441-cba1cc5c3627,263.6,1.8,10.8,turkish-hazel,Deciduous,Introduced,1,0,3.7,0.6,0.16,0.05,beautiful-example-of-species,,11/4/2023 4:00:00 PM,11/4/2023 8:43:05 PM,sipariya@flemingcollege.ca_Fleming,11/4/2023 8:43:05 PM,sipariya@flemingcollege.ca_Fleming,-78.7388216666667,44.3379533333333
41,c69b28ad-7c2a-4934-a3c3-d11b1a58b964,265.7853,4.9885,2.9899,northern-pin-oak,Deciduous,Native,2,0,14.5,8.5,1.25,0.4,physical-damage-evident,,11/4/2023 4:00:00 PM,11/4/2023 8:44:26 PM,shwagl@flemingcollege.ca_Fleming,11/4/2023 8:44:26 PM,shwagl@flemingcollege.ca_Fleming,-78.73877587698,44.3377924061744
42,41b1bf2a-beb2-45ab-bfb4-290977bc5e1e,265.6,1.5,9,yellow-birch,Deciduous,Native,1,0,6.5,2.5,0.288,0.09,beautiful-example-of-species,,11/4/2023 4:00:00 PM,11/4/2023 8:46:18 PM,sipariya@flemingcollege.ca_Fleming,11/4/2023 8:46:18 PM,sipariya@flemingcollege.ca_Fleming,-78.7385966666667,44.3379616666667
43,d191a022-53b4-475d-9279-b76a20f7666a,265.5093,4.8821,3.1607,scarlet-oak,Deciduous,Introduced,1,0,2.2,0.8,0.35,0.11,beautiful-example-of-species,,11/4/2023 4:00:00 PM,11/4/2023 8:47:51 PM,shwagl@flemingcollege.ca_Fleming,11/4/2023 8:47:51 PM,shwagl@flemingcollege.ca_Fleming,-78.7386303569669,44.3378743499206
44,ea353772-0152-42fe-ada0-652ae672da7a,260.7,1.4,5.1,chestnut-oak,Deciduous,Introduced,1,0,0.7,0.4,0.1,0.03,beautiful-example-of-species,,11/4/2023 4:00:00 PM,11/4/2023 8:48:43 PM,sipariya@flemingcollege.ca_Fleming,11/4/2023 8:48:43 PM,sipariya@flemingcollege.ca_Fleming,-78.7385316666667,44.3379433333333
45,f9f01c15-668a-4a22-a386-fae29757c73a,257.3,1.5,5.1,japanese-maple,Deciduous,Introduced,1,0,2,0.5,0.15,0.05,beautiful-example-of-species,,11/4/2023 4:00:00 PM,11/4/2023 8:50:18 PM,sipariya@flemingcollege.ca_Fleming,11/4/2023 8:50:18 PM,sipariya@flemingcollege.ca_Fleming,-78.738815,44.3377983333333
46,50bfc003-8657-476a-9381-c6d9478640f5,265.6738,5.1913,2.622,russian-olive,Deciduous,Naturalized,1,0,1.5,2.5,0.12,0.04,,,11/4/2023 4:00:00 PM,11/4/2023 8:50:44 PM,shwagl@flemingcollege.ca_Fleming,11/4/2023 8:50:44 PM,shwagl@flemingcollege.ca_Fleming,-78.7388853647001,44.3378605912366
47,f841e018-0eaf-4f53-9c11-6e400014c3ce,256.6,1.4,4.8,speckled-alder,Deciduous,Native,1,0,2,1,0.12,0.04,beautiful-example-of-species,,11/4/2023 4:00:00 PM,11/4/2023 8:52:02 PM,sipariya@flemingcollege.ca_Fleming,11/4/2023 8:52:02 PM,sipariya@flemingcollege.ca_Fleming,-78.7387866666667,44.3377883333333
48,38a46125-6b31-4982-9501-d8187223a265,257.7,1.5,5.5,eastern-white-cedar,Conifer,Native,1,0,13,5,1.5,0.48,beautiful-example-of-species,,11/4/2023 4:00:00 PM,11/4/2023 8:56:00 PM,sipariya@flemingcollege.ca_Fleming,11/4/2023 8:56:00 PM,sipariya@flemingcollege.ca_Fleming,-78.737995,44.3378083333333
49,b1941473-7e01-420a-a953-b13913c391b4,265.0791,17.5385,3,american-beech,Deciduous,Native,2,0,2.5,3.5,0.76,0.24,,,11/4/2023 4:00:00 PM,11/4/2023 9:00:33 PM,shwagl@flemingcollege.ca_Fleming,11/4/2023 9:00:33 PM,shwagl@flemingcollege.ca_Fleming,-78.7381218374509,44.3396195210929
50,7077e6b4-e8a3-4845-9715-150bc6cd7a36,252.9,5.7,10.7,black-locust,Deciduous,Naturalized,1,0,10,5,1.2,0.38,beautiful-example-of-species,,11/4/2023 4:00:00 PM,11/4/2023 9:01:26 PM,sipariya@flemingcollege.ca_Fleming,11/4/2023 9:01:26 PM,sipariya@flemingcollege.ca_Fleming,-78.7378116666667,44.33925
51,47f85229-a657-43eb-a8e3-46128d0b1dde,220.9104,3.7901,3,white-spruce,Conifer,Native,1,0,15.24,3.5,3,0.95,beautiful-example-of-species,Pretty looking tree. Lots of pine cones on em. The squirrels were going ham on this bad boy. ,11/5/2023 5:00:00 PM,11/5/2023 2:12:11 PM,oesun@flemingcollege.ca_Fleming,11/5/2023 2:12:11 PM,oesun@flemingcollege.ca_Fleming,-78.74146201,44.34898819
52,c5755898-2ab2-46b4-9e06-c29a58ea7d00,222.9956,3.7901,3,common-dogwood,Deciduous,Naturalized,3,60,3,0.9144,0.6092,0.19,trimming-dead/broken-branches,,11/5/2023 5:00:00 PM,11/5/2023 2:26:55 PM,oesun@flemingcollege.ca_Fleming,11/5/2023 2:26:55 PM,oesun@flemingcollege.ca_Fleming,-78.74148131,44.34906533
53,4218974b-241d-4050-ad80-357a57779e6c,224.4205,3.7901,3,scots-pine,Conifer,Naturalized,2,30,10.66,1.07,0.91,0.29,,,11/5/2023 5:00:00 PM,11/5/2023 2:31:38 PM,oesun@flemingcollege.ca_Fleming,11/5/2023 2:31:38 PM,oesun@flemingcollege.ca_Fleming,-78.74155449,44.34913928
54,01a647a0-6cc4-4663-bd33-33d7e0c5aa13,218.9124,3.7901,6,norway-maple,Deciduous,Naturalized,3,90,18,10,5,1.59,"trimming-dead/broken-branches,clear-branches-near-structure(s)",,11/5/2023 5:00:00 PM,11/5/2023 2:35:59 PM,oesun@flemingcollege.ca_Fleming,11/5/2023 2:35:59 PM,oesun@flemingcollege.ca_Fleming,-78.74136274,44.34883098
55,d553ce40-2af4-4261-83dc-147afaff5788,230.2693,3.7901,4,norway-maple,Deciduous,Naturalized,1,10,16.76,1.828,1.524,0.49,beautiful-example-of-species,,11/5/2023 5:00:00 PM,11/5/2023 2:40:10 PM,oesun@flemingcollege.ca_Fleming,11/5/2023 2:40:10 PM,oesun@flemingcollege.ca_Fleming,-78.74236993,44.34858614
56,075f36f2-c054-4f29-8a4f-70a4ee3b04de,226.0942,3.7901,6,water-birch,Deciduous,Native,1,0,3.048,0.61,1.22,0.39,beautiful-example-of-species,,11/5/2023 5:00:00 PM,11/5/2023 2:43:17 PM,oesun@flemingcollege.ca_Fleming,11/5/2023 2:43:17 PM,oesun@flemingcollege.ca_Fleming,-78.74227691,44.34806862
57,9b3b426f-9c41-43bd-8712-9e5c3373c0f5,226.0534,3.7901,4,colorado-spruce,Conifer,Introduced,1,0,4.27,1.83,1.23,0.39,beautiful-example-of-species,,11/5/2023 5:00:00 PM,11/5/2023 2:47:18 PM,oesun@flemingcollege.ca_Fleming,11/5/2023 2:47:18 PM,oesun@flemingcollege.ca_Fleming,-78.74229795,44.34772749
58,836f729e-6f33-45cd-9cf0-2ef20363a78c,224.7673,4.7323,6,american-beech,Deciduous,Native,2,30,5.49,1.98,0.91,0.29,trimming-dead/broken-branches,,11/5/2023 5:00:00 PM,11/5/2023 2:51:08 PM,oesun@flemingcollege.ca_Fleming,11/5/2023 2:51:08 PM,oesun@flemingcollege.ca_Fleming,-78.74172238,44.34682629
59,f011e528-c867-4d02-ab39-1e92afc0ded0,225.1827,3.7901,3,norway-maple,Deciduous,Naturalized,2,15,15.24,2.74,1.22,0.39,evidence-of-infestation,,11/5/2023 5:00:00 PM,11/5/2023 2:55:37 PM,oesun@flemingcollege.ca_Fleming,11/5/2023 2:55:37 PM,oesun@flemingcollege.ca_Fleming,-78.74129651,44.34635215
60,aad2453c-63d5-4fd5-8a80-dd5e4447d145,224.5328,3.7901,4,red-pine,Conifer,Native,1,5,24.38,8.2,1.37,0.44,"trimming-dead/broken-branches,beautiful-example-of-species",,11/5/2023 5:00:00 PM,11/5/2023 2:59:29 PM,oesun@flemingcollege.ca_Fleming,11/5/2023 2:59:29 PM,oesun@flemingcollege.ca_Fleming,-78.74103806,44.34554266
61,b781aa0b-fd32-4f46-b4f0-809e10b60260,226.4791,3.7901,3,chinese-juniper,Conifer,Introduced,2,30,5.5,2.41,4.12,1.31,trimming-dead/broken-branches,,11/5/2023 5:00:00 PM,11/5/2023 3:10:29 PM,oesun@flemingcollege.ca_Fleming,11/5/2023 3:10:29 PM,oesun@flemingcollege.ca_Fleming,-78.74000119,44.34220552
62,13e08ca1-c0d7-4630-ad9a-475d1e536854,231.7151,3.8847,4,horsechestnut,Deciduous,Naturalized,1,10,25.52,5.62,9.11,2.9,trimming-dead/broken-branches,,11/5/2023 5:00:00 PM,11/5/2023 3:14:41 PM,oesun@flemingcollege.ca_Fleming,11/5/2023 3:14:41 PM,oesun@flemingcollege.ca_Fleming,-78.73966848,44.34192844
63,483fa68c-cbd8-4965-b019-2177cdec8166,231.3124,3.7901,3,red-maple,Deciduous,Native,3,55,20,4.01,12.23,3.89,trimming-dead/broken-branches,Caught a squirrel taking a nap on it. Cute,11/5/2023 5:00:00 PM,11/5/2023 3:18:34 PM,oesun@flemingcollege.ca_Fleming,11/5/2023 3:18:34 PM,oesun@flemingcollege.ca_Fleming,-78.73981166,44.34171131
64,7c503956-f5c0-4c9b-aff2-e2f546802430,228.1617,3.7901,4,one-seeded-hawthorn,Deciduous,Naturalized,1,90,7.24,6.62,5.23,1.66,"trimming-dead/broken-branches,beautiful-example-of-species",,11/5/2023 5:00:00 PM,11/5/2023 3:23:15 PM,oesun@flemingcollege.ca_Fleming,11/5/2023 3:23:15 PM,oesun@flemingcollege.ca_Fleming,-78.73942338,44.34089233
65,99a09646-4944-47e1-aaae-1038e20f1958,231.7231,3.7901,3,red-oak,Deciduous,Native,2,30,8.2,10,3,0.95,trimming-dead/broken-branches,,11/5/2023 5:00:00 PM,11/5/2023 3:30:39 PM,oesun@flemingcollege.ca_Fleming,11/5/2023 3:30:39 PM,oesun@flemingcollege.ca_Fleming,-78.73861485,44.3400968
66,62c693f5-7315-4350-86c4-e429ed612061,228.582,3.7901,3,black-spruce,Conifer,Native,1,5,18,6,4.5,1.43,beautiful-example-of-species,,11/5/2023 5:00:00 PM,11/5/2023 3:32:15 PM,oesun@flemingcollege.ca_Fleming,11/5/2023 3:32:15 PM,oesun@flemingcollege.ca_Fleming,-78.73852217,44.34000936
67,d1684176-e4d8-4039-b2e4-57ce52124c8c,225.9949,3.7901,3,american-beech,Deciduous,Native,1,0,2.74,0.92,0.61,0.19,beautiful-example-of-species,Smol tree,11/5/2023 5:00:00 PM,11/5/2023 3:37:14 PM,oesun@flemingcollege.ca_Fleming,11/5/2023 3:37:14 PM,oesun@flemingcollege.ca_Fleming,-78.73788368,44.3393187
68,95e5678c-cbcb-4663-a6bf-bd5cff4a05d8,227.6274,3.7901,3,northern-hackberry,Deciduous,Native,3,40,3.35,1.22,1.07,0.34,trimming-dead/broken-branches,,11/5/2023 5:00:00 PM,11/5/2023 3:39:25 PM,oesun@flemingcollege.ca_Fleming,11/5/2023 3:39:25 PM,oesun@flemingcollege.ca_Fleming,-78.7379842,44.33930431
69,4962f593-883b-4b01-809b-a037271a3a6e,230.6807,3.7901,3,kentucky-coffeetree,Deciduous,Native,3,95,4.27,1.83,1.22,0.39,trimming-dead/broken-branches,,11/5/2023 5:00:00 PM,11/5/2023 3:40:30 PM,oesun@flemingcollege.ca_Fleming,11/5/2023 3:40:30 PM,oesun@flemingcollege.ca_Fleming,-78.73806609,44.33927879
70,3a0430cf-e71d-4d94-8942-7eb4b75d6e48,227.313,3.7901,3,staghorn-sumac,Deciduous,Native,2,80,2.13,0.61,0.61,0.19,,,11/5/2023 5:00:00 PM,11/5/2023 3:42:34 PM,oesun@flemingcollege.ca_Fleming,11/5/2023 3:42:34 PM,oesun@flemingcollege.ca_Fleming,-78.73795721,44.33929026
71,580cccfc-24f1-49ab-8aa1-636553b5de9d,267.5952,8,,colorado-spruce,Conifer,Introduced,1,10,12,3,0.8,0.25,beautiful-example-of-species,Blue spurce,11/6/2023 5:00:00 PM,11/6/2023 2:53:20 PM,kduwadi@flemingcollege.ca_Fleming,11/6/2023 2:53:20 PM,kduwadi@flemingcollege.ca_Fleming,-78.7407194976841,44.3396549034931
72,e86b7b1e-9070-4564-bbdd-c39b1bd1a004,241.5182,3,,northern-hackberry,Deciduous,Native,1,20,9,5,0.5,0.16,beautiful-example-of-species,No comments,11/6/2023 5:00:00 PM,11/6/2023 2:57:18 PM,kduwadi@flemingcollege.ca_Fleming,11/6/2023 2:57:18 PM,kduwadi@flemingcollege.ca_Fleming,-78.7407720391903,44.3398446650805
73,b3847f87-3b20-4753-b9ef-239b49e0327c,236.1439,3,,white-spruce,Conifer,Native,1,30,10,3.5,0.5,0.16,trimming-dead/broken-branches,,11/6/2023 5:00:00 PM,11/6/2023 3:00:53 PM,kduwadi@flemingcollege.ca_Fleming,11/6/2023 3:00:53 PM,kduwadi@flemingcollege.ca_Fleming,-78.7418010424586,44.3397746524399
74,7f488770-9804-443c-bcca-c339d83ad738,238.4024,2,,sugar-maple,Deciduous,Native,1,5,12,6,1,0.32,beautiful-example-of-species,,11/6/2023 5:00:00 PM,11/6/2023 3:04:26 PM,kduwadi@flemingcollege.ca_Fleming,11/6/2023 3:04:26 PM,kduwadi@flemingcollege.ca_Fleming,-78.7421528971289,44.339636803409
75,176e82a9-4eac-4d05-860d-aaf6a4902db9,239.1949,3,,red-oak,Deciduous,Native,1,0,8,0.4,0.4,0.13,beautiful-example-of-species,,11/6/2023 5:00:00 PM,11/6/2023 3:07:29 PM,kduwadi@flemingcollege.ca_Fleming,11/6/2023 3:07:29 PM,kduwadi@flemingcollege.ca_Fleming,-78.7429271576723,44.3402177608281
76,478e7188-cc18-4ca6-9da5-c53b98057bc2,266.6169,6,,sandbar-willow,Deciduous,Native,1,0,6,4,0.2,0.06,beautiful-example-of-species,,11/6/2023 5:00:00 PM,11/6/2023 4:57:11 PM,kduwadi@flemingcollege.ca_Fleming,11/6/2023 4:57:11 PM,kduwadi@flemingcollege.ca_Fleming,-78.7388183675026,44.3456878643426
77,280256d6-e3d8-4720-b25f-b4985076025a,254.2389,3,,bebb-willow,Deciduous,Native,1,0,1,1,0.15,0.05,beautiful-example-of-species,,11/6/2023 5:00:00 PM,11/6/2023 4:58:55 PM,kduwadi@flemingcollege.ca_Fleming,11/6/2023 4:58:55 PM,kduwadi@flemingcollege.ca_Fleming,-78.7389070018269,44.3456197559824
78,58487165-563c-413b-95cc-922a755d06b3,243.7018,3,,japanese-maple,Deciduous,Introduced,1,0,0.5,1,0.1,0.03,beautiful-example-of-species,Young tree,11/6/2023 5:00:00 PM,11/6/2023 5:00:40 PM,kduwadi@flemingcollege.ca_Fleming,11/6/2023 5:00:40 PM,kduwadi@flemingcollege.ca_Fleming,-78.7388239929532,44.3453247695037
79,7f567a37-0f30-4e48-a6c7-4b7776619fee,243.3624,3,,basswood,Deciduous,Native,1,0,9,7,0.6,0.19,beautiful-example-of-species,,11/6/2023 5:00:00 PM,11/6/2023 5:11:37 PM,kduwadi@flemingcollege.ca_Fleming,11/6/2023 5:11:37 PM,kduwadi@flemingcollege.ca_Fleming,-78.740988218459,44.3427841086476
80,61f69364-2321-462c-a58e-ab360c4c0225,242.6212,4,,red-spruce,Conifer,Native,1,10,15,3,0.3,0.1,"beautiful-example-of-species,trimming-dead/broken-branches",,11/6/2023 5:00:00 PM,11/6/2023 5:15:39 PM,kduwadi@flemingcollege.ca_Fleming,11/6/2023 5:15:39 PM,kduwadi@flemingcollege.ca_Fleming,-78.7408055099392,44.3428600116846
81,48a20a9f-2d7e-4494-8237-a59cb9125d80,268.3277,46,20.9057,colorado-spruce,Conifer,Introduced,1,0,12,3.5,1.2,0.38,beautiful-example-of-species,NA,11/6/2023 5:00:00 PM,11/6/2023 5:16:30 PM,rdulal@flemingcollege.ca_Fleming,11/6/2023 5:16:30 PM,rdulal@flemingcollege.ca_Fleming,-78.7407194410761,44.3401142335442
